LSTM-EMD,CHM-LSTM-EMD-Freq,CHM-LSTM-DWT,CHM-ESN-DWT,CHM-LSTM-EMD,CHM-ESN-EMD,CHM-ESN-EMD-Freq,LSTM-DWT,ESN-EMD-Freq
10.886573,9.416604,10.489485,11.153677,11.048307,7.762214,8.330294,10.333323,10.336307
11.133151,9.558781,10.464384,11.15309,10.917023,7.662605,7.5400615,10.091344,10.361394
10.941462,9.495455,10.31507,11.517504,10.888789,7.546534,8.008209,10.29326,10.176621
10.460516,9.481007,10.509049,12.106441,10.926774,7.4052176,8.920715,10.028499,10.07653
10.734502,9.278099,10.570724,12.42051,10.871731,7.410739,7.719603,11.210113,10.163358
10.002449,9.137485,10.789585,13.070106,10.883861,7.19496,8.736757,10.771341,10.459598
10.081917,9.66584,11.220289,13.845445,11.051104,6.8347735,8.264419,11.198135,11.43059
10.166608,9.458429,11.471696,14.321922,11.14213,6.593171,9.565802,11.450511,12.4451685
10.20849,9.768356,11.653763,14.937065,11.198357,6.724436,8.952631,11.532048,13.100868
10.203248,9.758017,11.643193,15.203351,11.26366,6.743736,11.039623,11.292965,13.3794365
9.696193,10.104323,11.67917,15.118983,11.302142,6.493023,9.58213,11.262764,12.687359
10.074379,9.846488,11.648995,15.054029,11.3561325,6.4290757,9.323761,11.10989,12.7442255
9.393772,9.353799,11.887117,15.057764,11.64218,6.312533,8.242479,11.22898,12.4798765
9.7415085,9.340712,11.932829,15.003122,11.749043,6.2104177,7.9037666,11.723194,12.539406
9.724907,9.039208,12.303907,14.976331,11.9683275,6.2553773,9.714674,11.499849,12.278882
9.775214,9.2442,12.491639,15.214225,12.046797,6.26151,7.3477144,11.698172,12.408449
9.85681,9.349517,12.863696,15.0165415,12.144225,6.4982085,8.480117,11.944948,12.710161
10.233378,9.186629,12.536951,13.914476,11.976055,6.4054723,8.488023,11.804959,12.583434
9.628643,9.801112,12.03491,12.817846,11.734731,6.5937557,9.218357,11.363487,12.933751
10.01918,9.735595,12.128165,12.085653,11.797169,6.6356425,8.678414,10.714098,12.392847
9.4011135,9.649716,12.050879,11.733357,11.763399,6.709922,7.1158686,11.02246,12.673877
9.171094,9.74612,11.8871565,11.797765,11.550418,6.7991047,9.389606,11.623156,11.666154
9.059867,9.619892,11.934523,11.679717,11.585551,6.5849733,8.510579,11.504045,10.916015
9.442787,9.971229,11.59968,10.823269,11.471462,6.1564484,8.567296,11.160265,10.663885
8.413226,9.707622,11.322192,10.6271105,11.320486,6.1244817,8.346879,10.927381,10.856407
8.371475,9.698165,11.493549,10.513922,11.361261,6.098024,9.3684435,11.021529,10.926141
8.42451,9.3854885,11.697001,10.249883,11.30884,5.9907594,10.976015,10.848767,10.823562
8.386391,9.7016535,11.707739,10.63024,11.141852,6.1475697,9.55352,11.254903,11.056367
7.6012106,9.529249,11.6423435,10.3355,10.869813,6.5532355,8.523285,11.180628,11.632619
6.901992,9.960802,11.6954155,10.135356,10.878873,6.7417474,8.413336,10.570537,12.197693
7.211296,9.857696,11.642949,10.439136,10.865962,6.829455,7.588473,10.148243,11.456606
7.7303414,9.891187,11.5551815,10.532003,10.750031,6.8915744,8.562506,9.33344,11.830192
8.03444,9.640078,11.42907,10.3333845,10.600504,6.7483563,7.1173863,9.226472,11.482757
8.09209,9.858312,11.336206,10.001363,10.52983,6.3071265,9.4897375,9.579494,10.630114
8.244793,10.461178,11.407129,9.944142,10.368208,6.6517534,7.2307167,9.251398,10.266751
9.268095,10.003942,10.98781,9.756135,9.964137,6.5494957,7.7880507,8.268233,11.140077
8.485846,10.037103,10.86523,9.594594,9.908015,6.6449146,8.080826,9.05455,10.708556
9.444464,9.60187,10.564206,9.5366745,9.732917,6.4311714,8.835688,9.605487,11.032738
9.806212,9.592245,10.546321,9.187819,10.021686,6.5526714,10.040465,10.63826,10.399501
10.360752,9.420087,10.466945,9.006587,10.2114315,7.0193586,9.173001,11.81096,10.36058
10.867381,9.596082,10.5537815,9.091685,10.472283,7.38296,8.923079,12.624287,11.417552
10.58502,9.55262,10.203857,8.806449,10.164681,7.8313923,9.518539,12.389273,11.426304
11.084385,9.7101755,10.103563,9.14305,10.156816,7.9299936,7.453115,11.9658165,10.978036
10.818341,9.763916,10.38077,9.545963,10.203762,8.172066,7.1825037,11.558653,10.033938
10.77983,10.121672,10.121212,9.152785,10.006913,8.530892,10.817026,11.722212,10.25926
10.051895,9.817817,10.5098505,9.022141,10.108242,8.895463,8.885047,11.613001,9.898217
10.422212,9.738518,10.737564,9.30901,9.876615,9.200733,9.051073,11.804367,10.2283945
10.328048,9.713986,10.4693575,9.056385,9.678519,9.886513,9.577322,11.453332,9.968938
10.908761,9.262421,10.299342,8.687898,9.887172,9.978049,9.389581,11.167669,10.120041
10.6348505,9.385605,10.290969,8.579566,10.03547,9.856992,8.189147,11.066382,9.781939
10.631339,9.085967,10.329612,8.839226,9.744117,9.928394,7.913557,10.662319,8.896145
9.950891,9.1094055,10.06553,8.51522,9.434489,9.92193,8.468962,12.005029,9.280092
9.969159,8.854726,10.070043,8.414669,9.474053,10.098725,7.8263054,10.732271,8.899612
9.313158,8.576465,10.010434,8.535476,9.428949,10.451257,7.3585835,10.718944,9.51041
9.065521,8.582315,10.053775,8.585499,9.425316,10.364075,7.3391376,10.463581,9.096252
9.531014,9.402278,9.636378,8.423515,9.36697,10.624527,5.9869504,10.187164,8.789915
9.402091,8.842487,9.825863,8.658068,9.507715,10.32015,6.8879437,10.019852,8.235198
10.7081995,8.922864,9.899766,8.554654,9.36712,10.617125,8.111633,9.805753,8.651445
10.01488,8.614871,10.5386305,8.785226,9.572317,10.968161,7.341799,10.627238,8.58078
9.990078,9.111697,10.689844,9.157475,9.607264,10.793426,8.089134,9.919142,9.882581
10.0589,9.113736,10.755994,8.719218,9.614207,11.46316,8.04345,10.092613,9.8640175
10.014863,9.365838,10.986227,8.777531,9.737572,11.66368,7.790043,10.87259,10.136512
9.4586315,9.087326,11.208341,8.917106,9.298063,11.273993,8.742862,10.628379,10.605075
10.020232,9.193345,11.200023,9.032487,9.1600275,11.78058,9.178823,10.789999,10.082993
9.786018,9.768193,11.427021,8.496771,9.1734295,11.444734,9.620779,10.493061,10.562472
9.402828,9.96088,11.571678,8.39812,9.17782,11.030654,7.3994975,10.5194,10.968115
9.867797,10.141173,11.560372,8.261133,9.120163,10.940104,7.5873027,10.583781,11.522746
9.419461,9.527524,11.621694,8.191994,9.107355,10.598375,11.065656,10.647911,11.659927
9.960466,9.704047,11.685903,8.724138,9.087409,10.563437,8.63251,10.580847,11.35543
9.444101,10.099581,11.5987,9.193296,9.09436,10.4043045,8.69498,10.623022,11.593568
9.758854,9.592602,11.293586,9.477277,9.145295,10.3968935,7.7974277,10.9428,11.100003
9.515007,9.942788,11.446047,9.546562,9.311718,10.361819,7.7834053,10.751553,11.144712
9.819209,9.62634,11.583982,9.656047,9.432564,10.358815,7.0099835,10.693895,11.3966055
9.824878,9.624035,11.554833,9.45743,9.561067,10.656208,7.5221434,11.290939,11.969009
10.107592,9.64326,11.993776,9.43084,10.034719,10.570879,7.7896705,10.832667,12.127888
10.310342,9.7360325,11.856304,9.638401,10.0554495,10.850891,7.3607206,10.494028,12.108412
10.121875,9.959186,11.845581,9.521538,10.179991,11.123309,9.275262,11.149546,12.435435
10.191161,10.033788,11.730722,9.600926,10.034617,11.324983,8.635191,11.364541,11.711292
10.060202,9.82453,11.881276,9.732223,10.088537,11.590747,8.997146,11.678111,11.8143635
10.610495,9.515903,11.875534,9.542035,9.800331,11.848756,8.585693,12.32711,11.695098
10.613546,9.721706,11.623292,9.509083,9.606869,12.255177,8.46308,12.347018,12.149896
10.7221575,9.582341,11.600971,9.482255,9.59895,12.354287,8.853403,12.694664,10.9730425
11.053159,9.973684,11.48907,9.752768,9.634252,12.176311,8.076167,11.874271,11.23831
11.113338,9.375455,11.369503,9.689769,9.721427,12.417605,8.959114,12.5896635,11.415596
10.217089,9.372117,11.478954,9.94941,9.910984,12.624843,9.046053,12.241233,12.230415
10.979238,9.560287,11.390344,10.286774,10.118395,12.901735,7.4303718,12.258546,12.389647
10.706021,9.476266,11.325244,10.484147,10.235581,13.349235,9.148106,11.484354,12.396517
10.139861,9.244659,11.087105,10.663681,10.166076,13.902552,9.464392,11.305087,12.557888
9.735272,9.298417,11.024862,10.528901,10.100838,13.920845,9.437799,11.4643345,12.787234
9.655436,9.316379,10.547871,10.16706,9.831095,13.724687,8.524536,11.741853,12.834276
9.375823,9.151417,10.383036,10.096025,9.764547,13.3664665,7.910051,9.913185,11.868915
9.338756,9.442182,10.256471,10.603022,9.766571,13.589128,8.58133,9.993217,11.740236
9.265256,9.265288,10.583324,11.347998,9.904803,14.16865,7.945959,10.004954,11.085421
9.91089,9.171222,10.404825,11.382022,9.992587,14.84642,6.9314156,10.710862,12.80417
10.844221,9.387035,10.790993,12.151759,10.387433,15.086973,7.3368697,11.625358,12.944508
10.370885,9.349543,10.807608,12.650747,10.76319,15.145788,6.778933,12.279357,12.372109
9.7477045,9.5797825,10.540917,13.167462,10.828362,15.829507,6.9276648,12.340002,11.712587
10.894073,9.517302,10.348293,13.889145,10.764262,16.412756,9.017254,13.3542,10.626152
10.5811205,9.945228,10.086387,14.439318,10.773446,16.754301,8.961361,12.363338,11.7580805
10.316462,9.725933,10.062402,14.738801,10.929436,17.650358,7.6850863,12.341727,12.519579
10.005005,10.126381,10.2345915,14.608086,11.163133,18.158625,11.207056,12.120543,13.04169
10.032827,9.834498,10.342144,14.602255,11.221913,18.303366,8.339324,12.631645,13.021804
10.0153055,9.85376,10.338456,14.59576,11.256777,18.419563,9.90679,12.326256,13.079291
