LSTM-EMD,CHM-LSTM-EMD-Freq,CHM-LSTM-DWT,CHM-ESN-DWT,CHM-LSTM-EMD,CHM-ESN-EMD,CHM-ESN-EMD-Freq,LSTM-DWT,ESN-EMD-Freq
12.331049,10.38727,12.350997,11.782706,11.978844,10.90713,12.390541,11.364899,11.988713
12.565969,10.7208,12.368834,11.861707,12.087522,10.744983,8.56461,11.612085,12.274873
12.384629,11.104538,12.404305,12.011885,12.254138,10.6546545,11.483768,11.57802,12.024224
12.235808,10.997233,12.398114,11.935978,12.373216,10.690736,10.58369,11.420409,11.88592
12.424055,11.402348,12.383647,11.802755,12.437778,10.96471,10.5919695,11.635322,11.932604
12.2751465,11.299575,12.408872,11.853687,12.374527,11.205206,12.083693,11.612562,12.555799
12.205562,11.398244,12.427289,11.6531925,12.352665,11.440248,11.31093,12.126998,12.245615
12.40745,10.841326,12.290265,11.66598,12.222806,11.469784,9.032093,11.832685,12.610121
12.523676,10.931587,12.20011,11.763371,12.092194,11.00961,6.681664,12.442873,12.144469
12.456424,10.950612,12.178224,11.880022,12.047524,11.043234,10.007279,11.834137,12.2500925
12.724287,10.420978,12.04364,12.034002,12.027096,11.100684,9.990584,12.4981,11.704154
12.728279,10.368607,11.87842,12.134339,12.075948,11.248752,11.900679,11.716798,11.608579
12.036915,10.758495,11.842579,11.967161,12.076524,11.394102,9.405474,12.236945,11.317535
11.851697,11.145995,11.909859,11.969853,11.975675,11.318911,14.627212,12.0720005,11.56069
12.127911,11.515614,11.722628,11.766651,11.913824,11.07882,9.854705,11.830577,11.279791
12.455874,11.49225,11.41833,11.6384945,12.010604,11.1015625,13.292509,11.032972,11.133751
11.864969,11.326974,11.517749,11.976088,12.174455,11.525785,12.767266,11.497509,11.078965
10.813782,11.1035595,11.570191,12.20144,12.246432,11.738291,8.6760645,11.656864,11.7955475
11.535973,11.460666,11.522851,12.036231,12.228738,11.879624,11.3159895,11.993707,12.357396
11.161677,11.576206,11.589609,12.27148,12.320278,11.843309,8.262761,10.769839,12.029418
11.0926075,12.076076,11.753768,12.331334,12.41102,12.066347,12.481408,10.9972315,11.766647
11.107394,11.3473,11.931334,12.581394,12.3631735,11.9566,10.869813,10.807965,11.81294
11.491092,11.211074,11.83146,12.991013,12.27154,11.63581,11.537502,11.345915,11.73313
11.497213,11.883801,11.817078,13.146032,12.372703,11.563642,12.374471,11.4746275,12.070668
12.001553,11.28939,12.068695,13.235452,12.50421,11.585039,11.669247,10.913241,12.354421
11.394951,12.014618,12.055967,13.355565,12.468422,11.679762,11.403244,11.731208,12.517718
11.4850645,11.130179,12.049978,13.323595,12.460107,11.564909,14.112611,11.202502,12.318003
11.079797,11.703883,12.225752,13.293466,12.485173,11.627722,10.600464,11.2126665,12.1909
11.350469,12.39103,12.426933,13.434329,12.475888,11.405224,10.57517,11.588327,12.55022
11.636288,12.141626,12.595778,13.550864,12.428283,11.42738,12.893997,11.256019,12.5102825
11.414128,11.561111,12.476218,13.128434,12.326113,11.267048,10.859135,11.944284,12.29168
11.356416,11.263437,12.455652,12.958952,12.4599,11.183695,11.751837,11.43387,11.725827
11.175568,11.413425,12.434119,13.053521,12.504097,11.395183,8.313367,11.537076,11.969483
11.477639,11.469191,12.32279,12.710191,12.631195,11.2736845,10.881563,11.762322,12.336397
11.855395,11.355925,12.439017,12.750962,12.799987,11.361909,11.522263,11.891493,12.749098
12.730481,11.321365,12.768929,12.974594,12.76772,11.437976,10.114422,12.779714,12.822863
12.456181,10.77404,12.82516,12.699118,12.793171,11.524741,11.210573,13.017895,12.795031
12.668854,10.875382,12.797654,12.617249,12.90901,11.596895,7.816477,12.980532,12.275371
12.181939,10.076165,12.964292,12.838841,13.024284,11.660825,11.448648,13.146758,11.881203
12.540091,11.638278,13.0303,12.601146,12.999409,11.756988,10.253484,12.862215,12.367933
12.389709,11.163692,13.031847,12.341896,12.95228,11.932894,9.400542,12.82771,12.093418
11.771089,11.163553,13.021135,12.214813,13.005944,12.183107,8.655356,13.403542,11.915178
11.962658,11.368061,13.059615,11.989118,13.031613,12.243215,11.246148,13.440071,12.235547
12.215824,11.663939,12.864018,11.731332,12.967412,12.244734,8.352004,13.486339,12.402983
12.2307415,11.197267,12.638195,11.694819,12.939741,12.319285,11.210719,13.910513,12.332766
11.947646,11.007637,12.634328,11.502563,12.904054,12.37032,10.788122,13.897413,12.641675
11.94678,11.075382,12.61347,11.6096735,12.706318,12.28425,10.0724535,14.006066,12.639248
12.386444,11.176959,12.522469,11.691766,12.364222,12.329795,13.23313,13.869389,12.370054
11.95839,11.686067,12.078986,11.284181,12.011121,12.044771,9.677284,13.788599,12.562372
11.675698,11.532702,12.065271,11.429292,12.121969,12.091627,12.92006,13.325156,12.802353
12.65809,10.634483,12.26114,11.775767,11.829871,12.269636,9.683663,13.810937,12.260019
11.64288,11.4477625,12.422533,12.05342,11.986209,12.145059,11.858892,13.736532,12.423441
11.581933,11.506686,12.27378,11.996422,11.95155,12.376766,12.079278,13.490124,12.139126
11.744053,11.404628,12.082972,12.105805,11.907953,12.499395,15.260874,13.358224,12.295341
11.211666,10.89746,12.156922,12.098777,11.95766,12.713837,12.800269,13.461921,11.9530735
11.102328,11.415377,12.3083725,12.17945,12.119003,12.940755,10.58763,13.1827345,12.004432
11.429274,11.55849,12.454839,12.438128,12.116913,13.242276,11.104023,12.914824,11.781776
11.590612,11.434234,12.302604,12.489282,12.128003,13.531354,11.167833,13.531568,11.630515
11.482961,11.754705,12.193804,12.6438055,12.206653,13.802687,11.947903,13.72663,12.38051
11.82157,11.248956,12.074157,12.642396,12.070094,13.913497,10.896406,13.23982,12.106318
11.618206,11.55356,12.159944,12.760726,12.162015,14.008641,9.476475,12.773928,11.56584
12.021034,11.3877945,12.060744,12.766633,12.134388,14.262222,11.865563,13.335991,12.151171
11.997596,11.257126,12.068906,12.964486,12.084781,14.396946,13.956155,12.891831,11.8848505
11.828215,11.45136,12.175761,13.125135,12.258485,14.568687,13.702873,13.631748,11.795088
11.782841,11.6716795,12.265944,13.264952,12.359925,14.815094,13.463316,13.287979,11.586006
11.725977,11.43294,12.260614,12.99392,12.467131,14.9502535,11.25034,13.816616,11.770495
12.01237,11.442494,12.1987295,12.787445,12.522003,14.945145,11.973319,14.315999,11.71333
11.655837,10.90476,11.996391,12.613619,12.405588,14.960205,8.706625,14.1820345,11.198696
12.5980015,11.499136,12.325505,12.815395,12.395047,15.030666,9.099918,13.046497,10.840581
12.474977,11.837642,12.298928,13.112899,12.2898855,14.804905,10.782983,12.594254,10.889573
13.844936,11.634297,12.187742,13.074684,12.300041,15.139636,12.016766,13.119479,11.126229
12.377885,11.755011,12.517121,13.045753,12.46118,15.21178,10.819143,11.665083,11.447482
12.646483,11.90145,12.431763,13.158495,12.498828,14.779379,13.756033,12.6621,11.269022
12.798745,11.79814,12.172901,13.123083,12.440082,14.620888,13.534271,12.79719,11.444722
12.285897,11.612565,12.094136,12.938967,12.523506,14.513921,12.47148,12.70376,11.260374
12.396292,11.679013,12.313721,13.333727,12.750743,14.48519,12.632388,12.208488,11.063741
12.3595705,11.725382,12.329625,13.429583,12.74029,14.586617,11.180782,11.674175,11.278008
12.292501,11.922358,12.294585,13.813764,12.722301,14.374393,11.629126,12.194049,11.499321
12.115085,12.460875,12.139833,13.961804,12.788769,13.950662,14.2913265,12.550648,11.46685
12.032452,11.200499,12.128848,14.213454,12.873602,13.798849,11.617009,12.7846575,11.699638
11.744373,11.315556,11.989391,14.19271,12.7652445,13.876356,13.10446,12.851645,12.430587
11.057804,11.471958,11.806174,14.305574,12.720981,13.58943,11.219987,12.669134,12.090614
11.0053835,11.846515,11.890028,14.513795,12.722147,13.585251,11.297829,12.63119,12.141044
11.471984,12.038938,12.076146,14.39148,12.8737755,13.285011,10.208057,12.792117,11.684252
11.968207,12.132686,11.957345,14.344431,12.838594,13.132796,13.645979,13.264511,12.103656
11.497056,11.675646,11.847638,14.213877,12.903281,13.0890665,11.068532,12.566847,12.07355
11.599729,11.344572,11.554419,13.6921015,12.690329,13.407964,6.1830535,12.98845,11.613745
11.922609,11.663336,11.402608,13.68833,12.577554,13.545741,12.025563,12.54727,11.946662
11.123418,11.43248,11.356385,13.580537,12.499704,13.28839,9.904194,12.530333,12.810229
11.452623,11.338098,11.437992,13.880474,12.3706455,13.053343,13.062724,12.10923,12.61586
12.486835,10.865796,11.381905,13.697505,12.347278,12.99598,11.612253,12.311853,11.473206
12.153183,11.472234,11.560417,13.706875,12.424653,12.792384,10.571442,12.114341,11.629189
12.625947,11.543714,11.601501,13.783245,12.482501,12.663756,11.731264,12.876019,11.880908
12.149849,11.1646805,11.505861,13.649245,12.523804,12.586022,10.083262,12.82092,12.249118
11.954937,11.596547,11.585534,13.580103,12.654049,12.726168,9.425436,12.792766,11.447566
