CHM-LSTM-EMD-Freq,LSTM-EMD,CHM-LSTM-DWT,CHM-ESN-DWT,CHM-LSTM-EMD,CHM-ESN-EMD,CHM-ESN-EMD-Freq,LSTM-DWT,ESN-EMD-Freq,LSTM-EMD-Freq
14.078297,17.856087,17.278807,17.17187,17.670908,18.152777,13.274675,18.36511,16.151516,17.70848

15.357337,17.862352,17.39786,17.35032,17.84663,18.250883,14.07648,18.220613,16.76453,17.837513

13.7633295,17.979565,17.492441,17.469685,17.897642,18.407146,11.509415,18.251276,16.84965,17.953506

14.22385,18.013885,17.789263,17.726698,17.979677,18.503971,14.581121,18.227066,16.970057,18.006577

13.264963,18.165752,17.683743,17.703066,17.966375,18.646862,13.062061,19.180016,17.274178,18.111027

14.724637,18.51475,17.627602,17.594856,17.86959,18.642782,14.012871,19.362038,17.09292,18.121424

14.740629,18.285181,17.621387,17.628157,17.818117,18.612318,19.881943,19.079113,16.750578,18.086897

13.857314,18.29506,17.455002,17.556631,17.753735,18.590565,19.974438,18.939032,16.709324,18.157198

14.925279,18.177408,17.556736,17.65741,17.759441,18.491789,16.984753,18.91711,16.409296,18.11445

16.45576,17.999687,17.615673,17.72776,17.792868,18.419512,14.299064,18.764738,16.209267,18.100088

15.165645,17.99312,17.50716,17.67147,17.77182,18.401478,14.650957,18.694157,16.42745,18.208412

14.316199,18.217373,17.533491,17.635023,17.742842,18.40265,14.015283,18.952942,16.521729,18.224466

14.9892645,17.760729,17.434315,17.67181,18.06364,18.334099,11.919949,18.70421,16.233637,17.942822

13.513972,17.889875,17.173687,17.472712,17.979626,18.14527,15.750388,18.151258,15.493977,17.869143

13.104029,17.558397,17.39152,17.717417,17.971378,18.040598,14.196191,18.25786,16.353783,17.773642

14.359586,17.650301,17.914513,18.170792,18.321783,18.154598,15.646081,17.975756,16.886639,17.993557

14.835459,18.101107,18.092375,18.307493,18.529753,18.405563,13.16625,18.248665,16.561367,18.42835

13.846833,18.61521,18.31352,18.423365,18.697683,18.591606,13.298423,19.16247,17.06819,18.693676

14.643559,18.59304,18.408558,18.739414,18.849691,18.79187,13.794375,19.723907,17.104044,18.805832

14.2026,18.811707,18.334286,18.70067,18.88993,18.91449,14.671898,19.334005,17.383644,18.87773

15.338449,18.57196,18.443556,18.75918,18.820232,19.024677,12.790718,19.278482,17.05018,19.052776

15.293444,18.84762,18.30888,18.649206,18.677671,19.026888,12.41345,19.198206,17.406063,19.220741

15.716962,18.689972,18.068441,18.47426,18.599277,18.933624,12.262001,18.747412,16.74687,19.16059

13.722985,18.025208,18.09701,18.330019,18.667305,18.880713,13.267669,18.330893,16.446556,18.981268

14.624808,18.127262,18.512447,18.72796,18.84274,18.959118,13.80879,18.842546,16.668882,19.017942

15.609548,18.31712,18.786232,18.865612,19.018635,19.039505,16.200134,18.967405,17.105114,19.211296

13.678122,18.557718,18.709923,18.770212,19.117811,19.128963,14.187335,19.06908,17.547201,19.347788

14.208505,18.963596,18.64162,18.734009,19.1396,19.192059,17.904581,19.232393,17.624155,19.375002

15.2239685,19.036276,18.796988,18.837048,19.23706,19.158287,13.821988,18.76386,17.301638,19.25965

